from_id,to_id,factor,location
e412ed0d-8a14-4eea-a9f5-f966517360c0,IC_EF_WATER_USE,7.82E+00,PH
fae48449-451a-4d3c-b2fd-fc9102913b95,IC_EF_LAND_USE,7.8922E+01,ZA
eb84226d-129f-49d8-8d69-cc484b7a6cbf,IC_EF_LAND_USE,2.3853E+02,ZA
a687e5df-4694-4151-ba84-0722481d6fdf,IC_EF_LAND_USE,-1.3000E+02,RO
9699a63f-c966-43a4-816c-b1fbbf0a3e88,IC_EF_LAND_USE,-1.2698E+02,DK
8af79474-1d57-4251-a878-c2973b2814e6,IC_EF_LAND_USE,1.0114E+02,ZA
e29e7755-623d-47fb-b2ac-c0615a1b709f,IC_EF_LAND_USE,-1.3394E+02,PL
f62266ab-2385-45b1-beb6-cbdbafaeb00b,IC_EF_WATER_USE,1.37E+01,RS
fe0acd60-3ddc-11dd-a6f9-0050c2490048,IC_EF_RESOURCE_FOSSILS,1.00E+00,
848d055d-88c2-4926-9ddd-1671887c4e2f,IC_EF_LAND_USE,1.3992E+02,DK
933debfd-2aa5-4a35-b07b-2732350ea29c,IC_EF_LAND_USE,1.2210E+02,HU
92f1554f-121d-4f07-a1bb-b07cd2f7c2f5,IC_EF_LAND_USE,2.8150E+02,LT
522f6ba8-5914-4f91-a198-a0da9aab707d,IC_EF_LAND_USE,-2.8375E+01,MX
fae48449-451a-4d3c-b2fd-fc9102913b95,IC_EF_LAND_USE,2.1026E+02,BR
87334803-fa5b-4c21-b52c-de9d79d806f8,IC_EF_LAND_USE,-1.5179E+02,CN
28e5f69f-7b2e-4e31-9725-d407b2964b3f,IC_EF_LAND_USE,4.0499E+02,MY
64faa7b1-e114-497a-b584-f4659e7115e4,IC_EF_LAND_USE,-1.1952E+02,NL
eb84226d-129f-49d8-8d69-cc484b7a6cbf,IC_EF_LAND_USE,3.4952E+02,PT
25a53117-7717-41f6-9085-64b1728c9b0d,IC_EF_LAND_USE,-1.1209E+02,LU
