id,name,flowType,category,referenceUnit,casNumber,status,description,source,sourceDatabase
FLOW_PA12,PA12,ProductFlow,material,kg,,candidate,Intermediate/product flow for PA12,,
FLOW_PETG,PETG,ProductFlow,material,kg,,candidate,Intermediate/product flow for PETG,,
FLOW_ALUMINUM,Aluminum,ProductFlow,material,kg,,candidate,Intermediate/product flow for aluminum,,
FLOW_STEEL,Steel,ProductFlow,material,kg,,candidate,Intermediate/product flow for steel,,
FLOW_TPU,TPU,ProductFlow,material,kg,,candidate,Intermediate/product flow for TPU,,
FLOW_SILICONE,Silicone,ProductFlow,material,kg,,candidate,Intermediate/product flow for silicone,,
FLOW_ELECTRICITY,Electricity,ProductFlow,energy,kWh,,candidate,Electricity input as intermediate/product flow,,
FLOW_COMPONENT,Finished gripper component,ProductFlow,product,pcs,,candidate,Reference product output,,
FLOW_WASTE,Manufacturing waste,WasteFlow,waste,kg,,candidate,Generic waste flow,,
08a91e70-3ddc-11dd-9277-0050c2490048,clomazone,ElementaryFlow,Emissions / Emissions to soil,kg,081777-89-1,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-927a-0050c2490048,clopyralid,ElementaryFlow,Emissions / Emissions to soil,kg,001702-17-6,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-927c-0050c2490048,clopyralid,ElementaryFlow,Emissions / Emissions to air,kg,001702-17-6,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9280-0050c2490048,clopyralid,ElementaryFlow,Emissions / Emissions to water,kg,001702-17-6,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9283-0050c2490048,cobalt,ElementaryFlow,Emissions / Emissions to air,kg,007440-48-4,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-928e-0050c2490048,cumene,ElementaryFlow,Emissions / Emissions to water,kg,000098-82-8,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9293-0050c2490048,particles (PM2.5),ElementaryFlow,Emissions / Emissions to air,kg,,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-929d-0050c2490048,decane,ElementaryFlow,Emissions / Emissions to air,kg,000124-18-5,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-92a1-0050c2490048,deltamethrin,ElementaryFlow,Emissions / Emissions to soil,kg,052918-63-5,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-92ac-0050c2490048,demeton-s-methyl sulfoxide,ElementaryFlow,Emissions / Emissions to soil,kg,000301-12-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
